William Eberle,tntech.edu,Tennessee Technological University,nan,anomaly_detection##data_mining
Lawrence Holder,wsu.edu,Washington State University,Diane J Cook##William Eberle,graph_mining##security##artificial_intelligence##data_mining
Talbert DA,tntech.edu,Tennessee Technological University,nan,artificial_intelligence##never_ending_learning##medical_informatics##lifelong_machine_learning
Dr. Sirisha Velampalli,crraoaimscs.res.in,nan,William Eberle##Lenin Mookiah,graph_mining##artificial_intelligence##big_data_analytics
Ambareen Siraj,tntech.edu,Tennessee Tech University,Rayford Vaughn##William Eberle##Siddharth Kaza##Christa Cody##Khaled Rabieh##Mohammad Ashiqur Rahman##Lenin Mookiah##Ferrol Aderholdt##Brandon Malone,cyber_education_and_workforce_development##cyber_physical_systems_security##network_security
Christa Cody,ncsu.edu,North Carolina State University,nan,artificial_intelligence##educational_technology
Siddharth Kaza,towson.edu,Towson University,Byron Marshall##Josh Dehlinger##Alan Wang 王刚##Fatemeh “Mariam” Zahedi##Harry Hochheiser##Daniel Dajun Zeng ##Paul Hu,nan
Ferrol Aderholdt,nvidia.com,NVIDIA,nan,nan
Khaled Rabieh,shsu.edu,nan,Mohamed M. E. A. Mahmoud##Kemal Akkaya##Samet Tonyali##Terry N. Guo##Ambareen Siraj##Jelena Misic##Mahmoud Allam,smart_grid_security##information_security##collusion_attacks_and_smaty_ci##privacy_preserving_schemes##vehicular_ad_hoc_networks
Byron Marshall,bus.oregonstate.edu,Oregon State University,Hsinchun Chen##Siddharth Kaza##Rene Reitsma##Madhusudan Therani##Dr. Michael Curry##Lillian N. Cassel##Peter Kawalek##J Leon Zhao##Robert E. Crossler##Wingyan Chung##John Correia##Alan Wang 王刚##Ee-Peng Lim,it_security##knowledge_management##small_business_it_governance##accounting_flow_visualization
Peter Kawalek,lboro.ac.uk,Loughborough University,nan,strategy##cybernetics##media##information_systems
