William Eberle,tntech.edu,Tennessee Technological University,nan,['data', 'mining', 'anomaly', 'detection']
Lawrence Holder,wsu.edu,Washington State University,Diane J Cook##William Eberle,['artificial', 'intelligence', 'machine', 'learning', 'data', 'mining', 'graph', 'mining', 'security']
Talbert DA,tntech.edu,Tennessee Technological University,nan,['machine', 'learning', 'never', 'ending', 'learning', 'lifelong', 'machine', 'learning', 'medical', 'informatics']
Dr. Sirisha Velampalli,crraoaimscs.res.in,nan,William Eberle##Lenin Mookiah,['graph', 'mining', 'big', 'data', 'analytics', 'machine', 'learning']
Ambareen Siraj,tntech.edu,Tennessee Tech University,Rayford Vaughn##William Eberle##Siddharth Kaza##Christa Cody##Khaled Rabieh##Mohammad Ashiqur Rahman##Lenin Mookiah##Ferrol Aderholdt##Brandon Malone,['network', 'security', 'cyber', 'physical', 'systems', 'security', 'cyber', 'education', 'and', 'workforce', 'development']
Christa Cody,ncsu.edu,North Carolina State University,nan,['artificial', 'intelligence', 'machine', 'learning', 'educational', 'technology']
Siddharth Kaza,towson.edu,Towson University,Byron Marshall##Josh Dehlinger##Alan Wang 王刚##Fatemeh “Mariam” Zahedi##Harry Hochheiser##Daniel Dajun Zeng ##Paul Hu,['nan']
Ferrol Aderholdt,nvidia.com,NVIDIA,nan,['nan']
Khaled Rabieh,shsu.edu,nan,Mohamed M. E. A. Mahmoud##Kemal Akkaya##Samet Tonyali##Terry N. Guo##Ambareen Siraj##Jelena Misic##Mahmoud Allam,['information', 'security', 'vehicular', 'ad', 'hoc', 'networks', 'privacy', 'preserving', 'schemes', 'smart', 'grid', 'security', 'collusion', 'attacks', 'and', 'smaty', 'ci']
Byron Marshall,bus.oregonstate.edu,Oregon State University,Hsinchun Chen##Siddharth Kaza##Rene Reitsma##Madhusudan Therani##Dr. Michael Curry##Lillian N. Cassel##Peter Kawalek##J Leon Zhao##Robert E. Crossler##Wingyan Chung##John Correia##Alan Wang 王刚##Ee-Peng Lim,['it', 'security', 'knowledge', 'management', 'small', 'business', 'it', 'governance', 'accounting', 'flow', 'visualization']
Peter Kawalek,lboro.ac.uk,Loughborough University,nan,['information', 'systems', 'strategy', 'media', 'cybernetics']
Fatemeh “Mariam” Zahedi,uwm.edu,University of Wisconsin-Milwaukee,Gaurav Bansal##Jaeki Song##Ahmed Abbasi##Yan Chen##David Gefen##Kanghyun Yoon##Ehsan S. Soofi##Siddharth Kaza##Andrew Ciganek,['web', 'based', 'it', 'systems', 'individual', 'behaviors', 'and', 'decision', 'making']
Mohamed M. E. A. Mahmoud,tntech.edu,Tennessee Tech University,nan,['security', 'and', 'privacy', 'preservation', 'for', 'wireless', 'networks']
Josh Dehlinger,towson.edu,Towson University,Robyn Lutz##Suranjan Chakraborty##Siddharth Kaza##Christoph Rosenkranz##Natalie Scala,['software', 'engineering']
Jaeki Song,ttu.edu,Texas Tech University,nan,['nan']
Wingyan Chung,wcu.edu,Western Carolina University,Hsinchun Chen##Daniel Dajun Zeng ##Alan Wang 王刚##Jinwei Liu##Michael Chau##Guanpi Lai##J F Nunamaker Jr.##Yilu Zhou##Haiying (Helen) Shen##Edward Fox##Xiaolong Zheng##Gabriel Weimann##Byron Marshall##Elizabeth Ehrhardt Mustaine##Ahmed Abbasi##Hsin-Hsiung Huang##Gondy Leroy##Liqiang Wang##Steve Sheetz,['business', 'analytics', 'social', 'media', 'analytics', 'cybersecurity', 'data', 'science', 'text', 'mining']
Ahmed Abbasi,nd.edu,University of Notre Dame,Hsinchun Chen##Fatemeh “Mariam” Zahedi##Daniel Dajun Zeng ##Jingjing Li##Donald  Adjeroh##Tianjun Fu##David G. Dobolyi##Yan Chen##Roger H.L. Chiang##J F Nunamaker Jr.##Arab Salem##Anthony Vance##Suprateek Sarker##Gari Clifford##Stephen France##Brent Kitchens##Siddharth Kaza##James V. Hansen##Kai R. Larsen##Hashim Sharif,['artificial', 'intelligence', 'machine', 'learning', 'natural', 'language', 'processing', 'predictive', 'analytics']
Gabriel Weimann,com.haifa.ac.il,University of Haifa,Jonathan Cohen##Wingyan Chung##Gadi Wolfsfeld,['political', 'communication', 'terrorism', 'media', 'effects']
