William Eberle,tntech.edu,Tennessee Technological University,nan,1
Lawrence Holder,wsu.edu,Washington State University,Diane J Cook##William Eberle,1
Talbert DA,tntech.edu,Tennessee Technological University,nan,1
Dr. Sirisha Velampalli,crraoaimscs.res.in,nan,William Eberle##Lenin Mookiah,1
Ambareen Siraj,tntech.edu,Tennessee Tech University,Rayford Vaughn##William Eberle##Siddharth Kaza##Christa Cody##Khaled Rabieh##Mohammad Ashiqur Rahman##Lenin Mookiah##Ferrol Aderholdt##Brandon Malone,1
Christa Cody,ncsu.edu,North Carolina State University,nan,1
Siddharth Kaza,towson.edu,Towson University,Byron Marshall##Josh Dehlinger##Alan Wang 王刚##Fatemeh “Mariam” Zahedi##Harry Hochheiser##Daniel Dajun Zeng ##Paul Hu,1
Ferrol Aderholdt,nvidia.com,NVIDIA,nan,1
Khaled Rabieh,shsu.edu,nan,Mohamed M. E. A. Mahmoud##Kemal Akkaya##Samet Tonyali##Terry N. Guo##Ambareen Siraj##Jelena Misic##Mahmoud Allam,1
Byron Marshall,bus.oregonstate.edu,Oregon State University,Hsinchun Chen##Siddharth Kaza##Rene Reitsma##Madhusudan Therani##Dr. Michael Curry##Lillian N. Cassel##Peter Kawalek##J Leon Zhao##Robert E. Crossler##Wingyan Chung##John Correia##Alan Wang 王刚##Ee-Peng Lim,1
Peter Kawalek,lboro.ac.uk,Loughborough University,nan,1
Fatemeh “Mariam” Zahedi,uwm.edu,University of Wisconsin-Milwaukee,Gaurav Bansal##Jaeki Song##Ahmed Abbasi##Yan Chen##David Gefen##Kanghyun Yoon##Ehsan S. Soofi##Siddharth Kaza##Andrew Ciganek,1
Mohamed M. E. A. Mahmoud,tntech.edu,Tennessee Tech University,nan,1
Josh Dehlinger,towson.edu,Towson University,Robyn Lutz##Suranjan Chakraborty##Siddharth Kaza##Christoph Rosenkranz##Natalie Scala,1
Jaeki Song,ttu.edu,Texas Tech University,nan,1
Wingyan Chung,wcu.edu,Western Carolina University,Hsinchun Chen##Daniel Dajun Zeng ##Alan Wang 王刚##Jinwei Liu##Michael Chau##Guanpi Lai##J F Nunamaker Jr.##Yilu Zhou##Haiying (Helen) Shen##Edward Fox##Xiaolong Zheng##Gabriel Weimann##Byron Marshall##Elizabeth Ehrhardt Mustaine##Ahmed Abbasi##Hsin-Hsiung Huang##Gondy Leroy##Liqiang Wang##Steve Sheetz,1
Ahmed Abbasi,nd.edu,University of Notre Dame,Hsinchun Chen##Fatemeh “Mariam” Zahedi##Daniel Dajun Zeng ##Jingjing Li##Donald  Adjeroh##Tianjun Fu##David G. Dobolyi##Yan Chen##Roger H.L. Chiang##J F Nunamaker Jr.##Arab Salem##Anthony Vance##Suprateek Sarker##Gari Clifford##Stephen France##Brent Kitchens##Siddharth Kaza##James V. Hansen##Kai R. Larsen##Hashim Sharif,1
Gabriel Weimann,com.haifa.ac.il,University of Haifa,Jonathan Cohen##Wingyan Chung##Gadi Wolfsfeld,1
Lenin Mookiah,students.tntech.edu,nan,William Eberle##Lawrence Holder##Ambareen Siraj##Dr. Sirisha Velampalli##Talbert DA,1
Diane J Cook,eecs.wsu.edu,Washington State University,Lawrence Holder##Parisa Rashidi##Sajal K. Das##Sumi Helal IEEE Fellow AAAS Fellow...##Vic Callaghan##Armin R. Mikler##Jesus A. Gonzalez##Ehsan Nazerfard##Courtney (Court) Corley##Hani Hagras##Brian K. Lamb##Kevin W. Bowyer##Jesse Hoey##F.L. Lewis##Horst Bunke##Ujjwal Maulik##Sanghamitra Bandyopadhyay##Wei Wang##sanjay chawla,1
Elizabeth Ehrhardt Mustaine,ucf.edu,University of Central Florida,nan,1
Madhusudan Therani,engkraft.com,nan,nan,1
Hsinchun Chen,email.arizona.edu,University of Arizona,Daniel Dajun Zeng ##Wingyan Chung,1
Jesus A. Gonzalez,uta.edu,University of Texas at Arlington,Hugo Jair Escalante##Eduardo Morales##Leopoldo Altamirano Robles##Alejandro Rosales-Pérez##Carlos A Reyes-Garcia##Lawrence Holder##Luis Enrique Sucar##Diane J Cook##Carlos A. Coello Coello##Raquel Díaz Hernández##Manuel Montes-y-Gómez##Hayde Peregrina-Barreto##Aurelio Lopez-Lopez##Luis Villaseñor Pineda##Luis Javier Mena Camare##Osorio Mauricio##Pablo Hernandez-Leal##José de Jesús Rangel-Magdaleno##D. Hernandez-Contreras##Gladys Maestre,1
