author_name,email,affiliation,coauthors_names,research_bag_of_words
William Eberle,tntech.edu,Tennessee Technological University,nan,['data', 'mine', 'anomali', 'detect']
Lawrence Holder,wsu.edu,Washington State University,Diane J Cook##William Eberle,['artifici', 'intellig', 'machin', 'learn', 'data', 'mine', 'graph', 'mine', 'secur']
Talbert DA,tntech.edu,Tennessee Technological University,nan,['machin', 'learn', 'never', 'end', 'learn', 'lifelong', 'machin', 'learn', 'medic', 'informat']
Dr. Sirisha Velampalli,crraoaimscs.res.in,nan,William Eberle##Lenin Mookiah,['graph', 'mine', 'big', 'data', 'analyt', 'machin', 'learn']
Ambareen Siraj,tntech.edu,Tennessee Tech University,Rayford Vaughn##William Eberle##Siddharth Kaza##Christa Cody##Khaled Rabieh##Mohammad Ashiqur Rahman##Lenin Mookiah##Ferrol Aderholdt##Brandon Malone,['network', 'secur', 'cyber', 'physic', 'system', 'secur', 'cyber', 'educ', 'workforc', 'develop']
Christa Cody,ncsu.edu,North Carolina State University,nan,['artifici', 'intellig', 'machin', 'learn', 'educ', 'technolog']
Siddharth Kaza,towson.edu,Towson University,Byron Marshall##Josh Dehlinger##Alan Wang 王刚##Fatemeh “Mariam” Zahedi##Harry Hochheiser##Daniel Dajun Zeng ##Paul Hu,['nan']
Ferrol Aderholdt,nvidia.com,NVIDIA,nan,['nan']
Khaled Rabieh,shsu.edu,nan,Mohamed M. E. A. Mahmoud##Kemal Akkaya##Samet Tonyali##Terry N. Guo##Ambareen Siraj##Jelena Misic##Mahmoud Allam,['inform', 'secur', 'vehicular', 'ad', 'hoc', 'network', 'privaci', 'preserv', 'scheme', 'smart', 'grid', 'secur', 'collus', 'attack', 'smati', 'ci']
Byron Marshall,bus.oregonstate.edu,Oregon State University,Hsinchun Chen##Siddharth Kaza##Rene Reitsma##Madhusudan Therani##Dr. Michael Curry##Lillian N. Cassel##Peter Kawalek##J Leon Zhao##Robert E. Crossler##Wingyan Chung##John Correia##Alan Wang 王刚##Ee-Peng Lim,['secur', 'knowledg', 'manag', 'small', 'busi', 'govern', 'account', 'flow', 'visual']
Peter Kawalek,lboro.ac.uk,Loughborough University,nan,['inform', 'system', 'strategi', 'media', 'cybernet']
Fatemeh “Mariam” Zahedi,uwm.edu,University of Wisconsin-Milwaukee,Gaurav Bansal##Jaeki Song##Ahmed Abbasi##Yan Chen##David Gefen##Kanghyun Yoon##Ehsan S. Soofi##Siddharth Kaza##Andrew Ciganek,['web', 'base', 'system', 'individu', 'behavior', 'decis', 'make']
Mohamed M. E. A. Mahmoud,tntech.edu,Tennessee Tech University,nan,['secur', 'privaci', 'preserv', 'wireless', 'network']
Josh Dehlinger,towson.edu,Towson University,Robyn Lutz##Suranjan Chakraborty##Siddharth Kaza##Christoph Rosenkranz##Natalie Scala,['softwar', 'engin']
Jaeki Song,ttu.edu,Texas Tech University,nan,['nan']
Wingyan Chung,wcu.edu,Western Carolina University,Hsinchun Chen##Daniel Dajun Zeng ##Alan Wang 王刚##Jinwei Liu##Michael Chau##Guanpi Lai##J F Nunamaker Jr.##Yilu Zhou##Haiying (Helen) Shen##Edward Fox##Xiaolong Zheng##Gabriel Weimann##Byron Marshall##Elizabeth Ehrhardt Mustaine##Ahmed Abbasi##Hsin-Hsiung Huang##Gondy Leroy##Liqiang Wang##Steve Sheetz,['busi', 'analyt', 'social', 'media', 'analyt', 'cybersecur', 'data', 'scienc', 'text', 'mine']
Ahmed Abbasi,nd.edu,University of Notre Dame,Hsinchun Chen##Fatemeh “Mariam” Zahedi##Daniel Dajun Zeng ##Jingjing Li##Donald  Adjeroh##Tianjun Fu##David G. Dobolyi##Yan Chen##Roger H.L. Chiang##J F Nunamaker Jr.##Arab Salem##Anthony Vance##Suprateek Sarker##Gari Clifford##Stephen France##Brent Kitchens##Siddharth Kaza##James V. Hansen##Kai R. Larsen##Hashim Sharif,['artifici', 'intellig', 'machin', 'learn', 'natur', 'languag', 'process', 'predict', 'analyt']
