"jurisdiction","week_of_allocations","_1st_dose_allocations","_2nd_dose_allocations"
"Connecticut","2021-06-21T00:00:00.000","41220","41220"
"Maine","2021-06-21T00:00:00.000","15800","15800"
"Massachusetts","2021-06-21T00:00:00.000","79500","79500"
"New Hampshire","2021-06-21T00:00:00.000","15800","15800"
"Rhode Island","2021-06-21T00:00:00.000","12480","12480"
"Vermont","2021-06-21T00:00:00.000","7480","7480"
"New Jersey","2021-06-21T00:00:00.000","100620","100620"
"New York","2021-06-21T00:00:00.000","128240","128240"
"New York City","2021-06-21T00:00:00.000","97400","97400"
"Puerto Rico","2021-06-21T00:00:00.000","39400","39400"
"U.S. Virgin Islands","2021-06-21T00:00:00.000","1360","1360"
"Delaware","2021-06-21T00:00:00.000","10940","10940"
"District of Columbia","2021-06-21T00:00:00.000","8320","8320"
"Maryland","2021-06-21T00:00:00.000","68000","68000"
"Pennsylvania","2021-06-21T00:00:00.000","129600","129600"
"Philadelphia","2021-06-21T00:00:00.000","18040","18040"
"Virginia","2021-06-21T00:00:00.000","95480","95480"
"West Virginia","2021-06-21T00:00:00.000","21360","21360"
"Alabama","2021-06-21T00:00:00.000","54960","54960"
"Florida","2021-06-21T00:00:00.000","239560","239560"
"Georgia","2021-06-21T00:00:00.000","113660","113660"
"Kentucky","2021-06-21T00:00:00.000","49960","49960"
"Mississippi","2021-06-21T00:00:00.000","33140","33140"
"North Carolina","2021-06-21T00:00:00.000","114640","114640"
"South Carolina","2021-06-21T00:00:00.000","56320","56320"
"Tennessee","2021-06-21T00:00:00.000","75060","75060"
"Chicago","2021-06-21T00:00:00.000","30520","30520"
"Illinois","2021-06-21T00:00:00.000","113660","113660"
"Indiana","2021-06-21T00:00:00.000","73840","73840"
"Michigan","2021-06-21T00:00:00.000","113100","113100"
"Minnesota","2021-06-21T00:00:00.000","62020","62020"
"Ohio","2021-06-21T00:00:00.000","131560","131560"
"Wisconsin","2021-06-21T00:00:00.000","65900","65900"
"Arkansas","2021-06-21T00:00:00.000","33420","33420"
"Louisiana","2021-06-21T00:00:00.000","51880","51880"
"New Mexico","2021-06-21T00:00:00.000","23700","23700"
"Oklahoma","2021-06-21T00:00:00.000","43280","43280"
"Texas","2021-06-21T00:00:00.000","300040","300040"
"Iowa","2021-06-21T00:00:00.000","35100","35100"
"Kansas","2021-06-21T00:00:00.000","32060","32060"
"Missouri","2021-06-21T00:00:00.000","68560","68560"
"Nebraska","2021-06-21T00:00:00.000","21220","21220"
"Colorado","2021-06-21T00:00:00.000","62300","62300"
"Montana","2021-06-21T00:00:00.000","12060","12060"
"North Dakota","2021-06-21T00:00:00.000","8600","8600"
"South Dakota","2021-06-21T00:00:00.000","9680","9680"
"Utah","2021-06-21T00:00:00.000","31220","31220"
"Wyoming","2021-06-21T00:00:00.000","6640","6640"
"Arizona","2021-06-21T00:00:00.000","77860","77860"
"California","2021-06-21T00:00:00.000","438000","438000"
"Hawaii","2021-06-21T00:00:00.000","16360","16360"
"Nevada","2021-06-21T00:00:00.000","32860","32860"
"American Samoa","2021-06-21T00:00:00.000","0","0"
"Guam","2021-06-21T00:00:00.000","0","0"
"Marshall Islands","2021-06-21T00:00:00.000","0","0"
"Micronesia","2021-06-21T00:00:00.000","0","0"
"Mariana Islands","2021-06-21T00:00:00.000","0","0"
"Palau","2021-06-21T00:00:00.000","0","0"
"Alaska","2021-06-21T00:00:00.000","12060","12060"
"Idaho","2021-06-21T00:00:00.000","18320","18320"
"Oregon","2021-06-21T00:00:00.000","47160","47160"
"Washington","2021-06-21T00:00:00.000","83520","83520"
"Federal Entities","2021-06-21T00:00:00.000","164800","164800"
"Connecticut","2021-06-14T00:00:00.000","41220","41220"
"Maine","2021-06-14T00:00:00.000","15800","15800"
"Massachusetts","2021-06-14T00:00:00.000","79500","79500"
"New Hampshire","2021-06-14T00:00:00.000","15800","15800"
"Rhode Island","2021-06-14T00:00:00.000","12480","12480"
"Vermont","2021-06-14T00:00:00.000","7480","7480"
"New Jersey","2021-06-14T00:00:00.000","100620","100620"
"New York","2021-06-14T00:00:00.000","128240","128240"
"New York City","2021-06-14T00:00:00.000","97400","97400"
"Puerto Rico","2021-06-14T00:00:00.000","39400","39400"
"U.S. Virgin Islands","2021-06-14T00:00:00.000","1360","1360"
"Delaware","2021-06-14T00:00:00.000","10940","10940"
"District of Columbia","2021-06-14T00:00:00.000","8320","8320"
"Maryland","2021-06-14T00:00:00.000","68000","68000"
"Pennsylvania","2021-06-14T00:00:00.000","129600","129600"
"Philadelphia","2021-06-14T00:00:00.000","18040","18040"
"Virginia","2021-06-14T00:00:00.000","95480","95480"
"West Virginia","2021-06-14T00:00:00.000","21360","21360"
"Alabama","2021-06-14T00:00:00.000","54960","54960"
"Florida","2021-06-14T00:00:00.000","239560","239560"
"Georgia","2021-06-14T00:00:00.000","113660","113660"
"Kentucky","2021-06-14T00:00:00.000","49960","49960"
"Mississippi","2021-06-14T00:00:00.000","33140","33140"
"North Carolina","2021-06-14T00:00:00.000","114640","114640"
"South Carolina","2021-06-14T00:00:00.000","56320","56320"
"Tennessee","2021-06-14T00:00:00.000","75060","75060"
"Chicago","2021-06-14T00:00:00.000","30520","30520"
"Illinois","2021-06-14T00:00:00.000","113660","113660"
"Indiana","2021-06-14T00:00:00.000","73840","73840"
"Michigan","2021-06-14T00:00:00.000","113100","113100"
"Minnesota","2021-06-14T00:00:00.000","62020","62020"
"Ohio","2021-06-14T00:00:00.000","131560","131560"
"Wisconsin","2021-06-14T00:00:00.000","65900","65900"
"Arkansas","2021-06-14T00:00:00.000","33420","33420"
"Louisiana","2021-06-14T00:00:00.000","51880","51880"
"New Mexico","2021-06-14T00:00:00.000","23700","23700"
"Oklahoma","2021-06-14T00:00:00.000","43280","43280"
"Texas","2021-06-14T00:00:00.000","300040","300040"
"Iowa","2021-06-14T00:00:00.000","35100","35100"
"Kansas","2021-06-14T00:00:00.000","32060","32060"
"Missouri","2021-06-14T00:00:00.000","68560","68560"
"Nebraska","2021-06-14T00:00:00.000","21220","21220"
"Colorado","2021-06-14T00:00:00.000","62300","62300"
"Montana","2021-06-14T00:00:00.000","12060","12060"
"North Dakota","2021-06-14T00:00:00.000","8600","8600"
"South Dakota","2021-06-14T00:00:00.000","9680","9680"
"Utah","2021-06-14T00:00:00.000","31220","31220"
"Wyoming","2021-06-14T00:00:00.000","6640","6640"
"Arizona","2021-06-14T00:00:00.000","77860","77860"
"California","2021-06-14T00:00:00.000","438000","438000"
"Hawaii","2021-06-14T00:00:00.000","16360","16360"
"Nevada","2021-06-14T00:00:00.000","32860","32860"
"American Samoa","2021-06-14T00:00:00.000","0","0"
"Guam","2021-06-14T00:00:00.000","0","0"
"Marshall Islands","2021-06-14T00:00:00.000","0","0"
"Micronesia","2021-06-14T00:00:00.000","0","0"
"Mariana Islands","2021-06-14T00:00:00.000","0","0"
"Palau","2021-06-14T00:00:00.000","0","0"
"Alaska","2021-06-14T00:00:00.000","12060","12060"
"Idaho","2021-06-14T00:00:00.000","18320","18320"
"Oregon","2021-06-14T00:00:00.000","47160","47160"
"Washington","2021-06-14T00:00:00.000","83520","83520"
"Federal Entities","2021-06-14T00:00:00.000","164800","164800"
"Connecticut","2021-06-07T00:00:00.000","41220","41220"
"Maine","2021-06-07T00:00:00.000","15800","15800"
"Massachusetts","2021-06-07T00:00:00.000","79500","79500"
"New Hampshire","2021-06-07T00:00:00.000","15800","15800"
"Rhode Island","2021-06-07T00:00:00.000","12480","12480"
"Vermont","2021-06-07T00:00:00.000","7480","7480"
"New Jersey","2021-06-07T00:00:00.000","100620","100620"
"New York","2021-06-07T00:00:00.000","128240","128240"
"New York City","2021-06-07T00:00:00.000","97400","97400"
"Puerto Rico","2021-06-07T00:00:00.000","39400","39400"
"U.S. Virgin Islands","2021-06-07T00:00:00.000","1360","1360"
"Delaware","2021-06-07T00:00:00.000","10940","10940"
"District of Columbia","2021-06-07T00:00:00.000","8320","8320"
"Maryland","2021-06-07T00:00:00.000","68000","68000"
"Pennsylvania","2021-06-07T00:00:00.000","129600","129600"
"Philadelphia","2021-06-07T00:00:00.000","18040","18040"
"Virginia","2021-06-07T00:00:00.000","95480","95480"
"West Virginia","2021-06-07T00:00:00.000","21360","21360"
"Alabama","2021-06-07T00:00:00.000","54960","54960"
"Florida","2021-06-07T00:00:00.000","239560","239560"
"Georgia","2021-06-07T00:00:00.000","113660","113660"
"Kentucky","2021-06-07T00:00:00.000","49960","49960"
"Mississippi","2021-06-07T00:00:00.000","33140","33140"
"North Carolina","2021-06-07T00:00:00.000","114640","114640"
"South Carolina","2021-06-07T00:00:00.000","56320","56320"
"Tennessee","2021-06-07T00:00:00.000","75060","75060"
"Chicago","2021-06-07T00:00:00.000","30520","30520"
"Illinois","2021-06-07T00:00:00.000","113660","113660"
"Indiana","2021-06-07T00:00:00.000","73840","73840"
"Michigan","2021-06-07T00:00:00.000","113100","113100"
"Minnesota","2021-06-07T00:00:00.000","62020","62020"
"Ohio","2021-06-07T00:00:00.000","131560","131560"
"Wisconsin","2021-06-07T00:00:00.000","65900","65900"
