author_name,email,affiliation,coauthors_names,research_interest
Wenjie Ruan,cs.ox.ac.uk,,Quan Z. (Michael) Sheng##Xiaowei Huang##Lina Yao##Tao Gu##Marta Kwiatkowska##Youcheng Sun##Professor Xue Li##Min Wu##Nick Falkner##Daniel Kroening##Peipei Xu##Jiangtao Wang##Xinping Yi##Longfei Shangguan##Lei Yang##Sen Wang##Wei Emma Zhang##Junyi Gao##Xianzhi Wang##Xin Gao,ai_safety##robust_deep_learning##automated_verification##iot##ubiquitous_computing
Saif M. Mohammad,nrc-cnrc.gc.ca,National Research Council Canada,Svetlana Kiritchenko##Xiaodan Zhu##Peter Turney##Bonnie Dorr##Graeme Hirst##Preslav Nakov##Mohammad Salameh##Felipe Bravo-Marquez##Colin Cherry##Parinaz Sobhani##Sara Rosenthal##Vahed Qazvinian##Dragomir Radev##Joel Martin##Ekaterina Shutova##Berry de Bruijn##David Jurgens##Alan Ritter##Ahmed Hassan Awadallah##Cody Dunne,natural_language_processing##lexical_semantics##emotion_analysis##emotion_recognition##sentiment_analysis
John Gustafson,vqresearch.com,,Diane Rover##Srinivas Aluru##Dhireesha Kudithipudi##Seyed Hamed Fatemi Langroudi##Zachariah Carmichael##Stephen T Elbert##Xian-He Sun##Armin R. Mikler##Farhad Merchant##Isaac Yonemoto##Walter F. Tichy##Adam A. Porter##Rohit Chaurasiya##Rahul Shrestha PhD SMIEEE##Jonathan Neudorfer##kaustav niyogi##Himeshi De Silva##Santosh Nagarakatte##Michal Kvasnica##Deepak Ingole,parallel_computing##numerical_analysis
Brandon Malone,No verified email,,,artificial_intelligence##bioinformatics##bayesian_networks
Farhad Merchant,ice.rwth-aachen.de,RWTH Aachen University,Rainer Leupers##Anupam Chattopadhyay##Dominik Sisejkovic (Šišejković)##Soumyendu Raha##Lennart M. Reimann##Tarun Vatwani##John Gustafson##Madhava Krishna C##Kapil Vatwani##Rohit Chaurasiya##Rahul Shrestha PhD SMIEEE##Jonathan Neudorfer##kaustav niyogi##Akash Kumar##Saptarsi Das##Kavitha Madhu##Ipsita Biswas Mahapatra##Santhi Natarajan##Dr Nalesh S##Debjyoti Bhattacharjee,hardware_security##neuromorphic_computing##algorithm_architecture_co_design##emerging_technologies
Cody Dunne,northeastern.edu,,Ben Shneiderman##Marc Smith##Derek L. Hansen##Eduarda Mendes Rodrigues##Bonnie Dorr##Sara Di Bartolomeo##David Saffo##Judith Klavans##Robert Gove##Jure Leskovec##Mauro Martino##Adam Perer##Yixuan (Janice) Zhang##Nathalie Henry Riche##Bongshin Lee##Michelle Anne Borkin##Saif M. Mohammad##Caglar Yildirim##Dana Rotman##Elizabeth Bonsignore,information_visualization##visual_analytics##human_computer_interaction
Dhireesha Kudithipudi,utsa.edu,University of Texas San Antonio,Cory Merkel,bio_inspired_computer_architectures##neuromemristive_systems##neuromorphic_systems##energy_efficient_machine_intelligence
Zhixian Yan,google.com,Google,Karl Aberer##Dipanjan Chakraborty##Ying Ding##Yannis Theodoridis##Nikos Pelekis##Dr Archan MISRA _##maria  luisa damiani##Gennady Andrienko##Chiara Renso##Natalia Andrienko##Hoyoung Jeung##Ioan Toma##Manuel Mazzara##Dragan Stojanovic##Bratislav Predic##Prof. Heng Tao SHEN##Nikos Giatrakos##Jean-Paul Calbimonte##Oscar Corcho##David Crandall,mobile##ai##deep_learning##big_data##db
Kevin Duh,cs.jhu.edu,Johns Hopkins University,Katsuhito Sudoh##Yuji Matsumoto##Katrin Kirchhoff##Benjamin Van Durme##Graham Neubig##Jianfeng Gao##Xiaodong Liu##Philipp Koehn##Shinji Watanabe##Chris Dyer##Trevor Cohn##Matt Post##Tsutomu Hirao##Li Deng##Xiaodong He (何晓冬)##Austin Matthews##Yangfeng Ji##Tomoharu Iwata##Jeffrey A. Bilmes##Andreas Stolcke,natural_language_processing##machine_learning
Tobias Schröder,fh-potsdam.de,,Jesse Hoey##Paul Thagard##Kimberly B. Rogers##Wolfgang Scholl##Ingo Wolf##Christian von Scheve##Markus Conrad##Jonathan H. Morgan##Areej Alhothali##Terrence C Stewart##Manjana Milkoreit##Thomas Homer Dixon##Arthur M Jacobs##Nikolas Zöller##Meiyappan Nagappan##Gert Jan Hofstede##Simone Kauffeld##Matto Mildenberger##Jonathan Leader Maynard##Quilley Stephen,social_psychology##sustainability##computational_social_science
Muhammad Mahbubur Rahman (মাহবুবুর রহমান),jhu.edu,Johns Hopkins University,Md. Saiful Islam##Tim Finin##Brenda Curtis##Salvatore Giorgi##Kevin Duh##Sorami Hisamoto##Dr. Afroza Nahar##Mahsa Yarmohammadi##Philipp Koehn##Daniel Povey##Hainan Xu##Yiming Wang##Zareen Syed##Sharath Chandra Guntuku##Arif Ul Alam##M Abdullah Al-Mamun,natural_language_processing##machine_learning##deep_learning##information_retrieval##digital_logic_design
Tarun Vatwani,students.iiit.ac.in,International Institute of Information Technology,Anupam Chattopadhyay##Farhad Merchant##Soumyendu Raha##Debjyoti Bhattacharjee,numerical_linear_algebra##parallel_programming##machine_learning
Brenda Curtis,nih.gov,,,addictions##digital_phenotyping##social_media_research##health_communication##internet_research_ethics
Vidhyasaharan Sethu,unsw.edu.au,University of New South Wales,Jia Min Karen Kua,speech_processing
Roland Goecke,canberra.edu.au,University of Canberra,Abhinav Dhall##Tom Gedeon##Jyoti Joshi##Julien Epps##Michael Breakspear##Gordon Parker##Akshay Asthana##Sharifa Alghowinem##Simon Lucey##Ramana Murthy##Ibrahim Radwan##Jason Saragih##Nicholas Cummins##Munawar Hayat##Jeffrey Cohn##Jesse Hoey##Karan Sikka##Matej Kristan##Roman Pflugfelder##Ales Leonardis,affective_computing##computer_vision##pattern_recognition##human_computer_interaction##multimodal_signal_processing
Sebastian Schnieder,uni-wuppertal.de,University of Wuppertal,Jarek Krajewski##Björn Schuller##Nicholas Cummins##Anton Batliner##Julien Epps##David Sommer##Elmar Nöth##Martin Golz##Roddy Cowie##Maja Pantic##Bihan Jiang##Florian Eyben##Michel Valstar##Florian Hönig##Stefan Steidl,affective_computing##pattern_recognition_in_psychopathologies
Jelena Misic,ryerson.ca,Ryerson University,Vojislav B Mišić##Xiaolin Chang##Hamzeh Khazaei##Saeed Rashwand Ph.D.##Fereshteh Amini##Carol Fung##Xuemin (Sherman) Shen##Mohamed M. E. A. Mahmoud##Victor C. M. Leung##Nargis Khan##Haleh Khojasteh##Moazzam Khan##Xiaodong Lin##Ghada Badawy##M Zulfiker Ali##Vincent Wong##Robert D McLeod##Ekram Hossain##Nei Kato(IEEE Fellow IEICE Fellow)##Dongmei Zhao,blockchain##iot##data_science##cloud_networking##vanet
Xuan Zhang,jhu.edu,Johns Hopkins University,,natural_language_processing##neural_machine_translation##machine_learning
Ehsan Nazerfard,aut.ac.ir,Amirkabir Univ of Tech,Diane J Cook##Elnaz Soleimani##Lawrence Holder##parviz asghari##Houtan Jebelli##Milad Sadat-Mohammadi##Mehrdad Abedi##Morteza Nazari-Heris##Mohammad Hassan Moradi##Ali Asghar Zarei##Yoosof Mashayekhi##Arman Rahbar##Saeed Bagheri Shouraki##Vesal Hakami,machine_learning##deep_reinforcement_learning##data_mining##context_aware_computing
Parisa Rashidi,ufl.edu,University of Florida,Azra  Bihorac##Diane J Cook##Patrick Tighe##Tezcan Ozrazgat-Baslanti##Benjamin Shickel##Anis Davoudi##Tyler J. Loftus##Matthew Ruppert##Todd Manini##Ashkan Ebadi##Lawrence Holder##Roger Fillingim##Sanjay Ranka##Gilbert Upchurch##Matin Kheirkhahan##Alex Mihailidis##Petar Momcilovic##Duane B. Corbett##Giovanni Acampora##Maureen Schmitter-Edgecombe,machine_learning_for_health##ml4h##medical_artificial_intelligence
Michal Kvasnica,stuba.sk,Slovak University of Technology in Bratislava,Miroslav Fikar,model_predictive_control##hybrid_systems
Chris Dyer,google.com,,Noah A. Smith##Phil Blunsom##Wang Ling##Manaal Faruqui##Miguel Ballesteros##Yulia Tsvetkov##Chris Callison-Burch##Philipp Koehn##Dani Yogatama##Adhiguna Kuncoro##Alan W Black##Kawakami Kazuya##Lingpeng Kong##Nathan Schneider##Isabel Trancoso##Ondřej Bojar##Alon Lavie##Waleed Ammar##Austin Matthews##Eduard Hovy,natural_language_processing##machine_learning
Lingpeng Kong,cs.hku.hk,University of Hong Kong,Chris Dyer##Noah A. Smith##Dani Yogatama##Adhiguna Kuncoro##Swabha Swayamdipta##Graham Neubig##Trevor Cohn##Yangfeng Ji##Nathan Schneider##Liang Lu##Archna Bhatia##Kevin Duh##Manaal Faruqui##Steve Renals##Jacob Eisenstein##Alexander M. Rush##likun qiu##William W. Cohen##William Yang Wang##Ting-Hao 'Kenneth' Huang,natural_language_processing##machine_learning
Santhi Natarajan,bmsit.in,,,reconfigurable_accelerators##computational_biology##radiomics##algorithm_architecture_codesign
Phil Blunsom,cs.ox.ac.uk,Oxford University,Karl Moritz Hermann##Edward Grefenstette##Chris Dyer##Tomáš Kočiský##Trevor Cohn##Nal Kalchbrenner##Yishu Miao##Wang Ling##Lei Yu##Gábor Melis##Dani Yogatama##Lasse Espeholt##Miles Osborne##Jan A. Botha##Felix Hill##Stephen Pulman##Tim Rocktäschel##Adam Lopez##Will Kay##Jan Buys,artificial_intelligence##machine_learning##computational_linguistics##natural_language_processing
Jesus A. Gonzalez,uta.edu,University of Texas at Arlington,Hugo Jair Escalante##Eduardo Morales##Leopoldo Altamirano Robles##Alejandro Rosales-Pérez##Carlos A Reyes-Garcia##Lawrence Holder##Luis Enrique Sucar##Diane J Cook##Carlos A. Coello Coello##Raquel Díaz Hernández##Manuel Montes-y-Gómez##Hayde Peregrina-Barreto##Aurelio Lopez-Lopez##Luis Villaseñor Pineda##Luis Javier Mena Camare##Osorio Mauricio##Pablo Hernandez-Leal##José de Jesús Rangel-Magdaleno##D. Hernandez-Contreras##Gladys Maestre,machine_learning##data_mining##medical_applications##remote_sensing
Arman Rahbar,chalmers.se,Chalmers University of Technology,Morteza Haghir Chehreghani##Devdatt Dubhashi##Ashkan Panahi##Saeedeh Momtazi##Ehsan Nazerfard,machine_learning##representation_learning##natural_language_processing
Benjamin Van Durme,cs.jhu.edu,Johns Hopkins University,Rachel Rudinger##Chris Callison-Burch##Sheng Zhang##pushpendre rastogi##Kevin Duh##Ellie Pavlick##Xuchen Yao##Mark Dredze##Francis Ferraro##Matt Post##Juri Ganitkevitch##Keisuke Sakaguchi##Matthew R. Gormley##Travis Wolfe##Courtney Napoles##Ashwin Lall##Charley Beller##Svitlana Volkova##Peter Clark##Aren Jansen,linguistics##natural_language_processing##artificial_intelligence
Jacob Eisenstein,google.com,Google Research,Eric Xing##Noah A. Smith##Brendan O'Connor##Yangfeng Ji##Umashanthi Pavalanathan##Yi Yang##Jean Vanderdonckt##David Bamman##Amr Ahmed,computational_linguistics##natural_language_processing##computational_social_science##computational_sociolinguistics
Rohit Chaurasiya,students.iitmandi.ac.in,Indian Institute of Technology Mandi,Rahul Shrestha PhD SMIEEE##Divya  K Shah##Dr. Mukesh D. Patil##Khushboo Pichhode,fpga_based_system_design##digital_vlsi_architecture##spectrum_sensing##cognitive_radio
Swabha Swayamdipta,allenai.org,,Noah A. Smith##Chris Dyer##Yejin Choi##Suchin Gururangan##Roy Schwartz##Doug Downey##Matthew E Peters##Sam Thomson##Iz Beltagy##Lingpeng Kong##Chandra Bhagavatula##Miguel Ballesteros##Rowan Zellers##Nathan Schneider##Archna Bhatia##Chaitanya Malaviya##Samuel R. Bowman##Omer Levy##Kyle Lo##Ana Marasović,natural_language_processing##machine_learning
Austin Matthews,cmu.edu,Carnegie Mellon University,,machine_translation##natural_language_processing
Chandra Bhagavatula,allenai.org,,Yejin Choi##Ronan Le Bras##Doug Downey##Waleed Ammar##Matthew E Peters##Keisuke Sakaguchi##Antoine Bosselut##Noah A. Smith##Thanapon Noraset##Russell Power##Jena D. Hwang##Maarten Sap##Peter West##Chaitanya Malaviya##Ari Holtzman##Hannah Rashkin##Swabha Swayamdipta##Vered Shwartz##Sergey Feldman##Lucy Lu Wang,natural_language_processing##commonsense_reasoning##information_extraction##artificial_intelligence##machine_learning
Arthur M Jacobs,zedat.fu-berlin.de,FU Berlin,Markus Conrad##Markus J. Hofmann##Lars Kuchinke##Jonathan Grainger##Johannes Ziegler##Mario Braun##Melissa Le-Hoa Vo##Florian Hutzler##J. Kevin O'Regan##Benny Briesemeister##Michael Dambacher##Arnaud REY##Tatjana A. Nazir##Hauke Heekeren##Reinhold Kliegl##Arash Aryani##Stefan Koelsch##Chun-Ting Hsu##Annette Kinder##Malek Bajbouj,experimental_psychology##affective_neuroscience##neurocognitive_poetics
Xian-He Sun,iit.edu,Illinois Institute of Technology,Yong Chen##Rajeev Thakur##Suren Byna##Anthony Kougkas PhD##Hui Jin##Shuibing He##Lionel Ni##William Gropp##Kasidit Chanchio##Xi Yang##Vijay K. Gurbani##Gregor von Laszewski##Jun He##Kirk Cameron##Y. Zhuang##Kun Feng##Ning Liu##Ioan Raicu##Adnan Haider##Bo Feng,parallel_and_distributed_processing##memory_and_i_o_systems##software_systems_for_big_data##performance_evaluation
Vinayak Naik,goa.bits-pilani.ac.in,BITS Pilani,Anish Arora##Hongwei Zhang##Sandip Bapat##Kuldeep Yadav##Vinod Kulathumani##Amarjeet Singh##Mohamed Gouda##Pushpendra Singh##Mikhail Nesterenko##Ted Herman##Sandeep Kulkarni##Dheryta Jaisinghani##Murat Demirbas##Prabal Dutta##Mahesh Arumugam##Young-ri Choi##Emre Ertin##Ponnurangam Kumaraguru "PK"##Deborah Estrin##Sonia Soubam,networks##systems##sensing##machine_learning##and_deep_learning
J. Christopher Beck,mie.utoronto.ca,University of Toronto,Stuart C. Shapiro##Mark S Fox##Tim Finin##Michael Genesereth##Tony T. Tran##Sheila McIlraith##Christian Muise##Tiago Vaquero##Gio Wiederhold##Patrick Prosser##Daria Terekhov##Kyle E. C. Booth##Jean-Paul Watson##Kenneth N. Brown##José Reinaldo Silva##Tom Carchrae##Wen-Yang Ku##Goldie Nejat##Eldan Cohen##David A. Romero,artificial_intelligence##constraint_programming##scheduling##planning##operations_research
Wenjia Li Ph.D. SMIEEE,nyit.edu,New York Institute of Technology,Anupam Joshi##Tim Finin##Feng Zeng##Houbing Song##Jonathan Voris##N. Sertac Artan##Palanivel kodeswaran##Varish Mulwad##Yelena Yesha##Wei Wu##Vlad Korolev##Patricia Ordóñez##Lindah Kotut##gaogang xie##Wei Wu##Pramod Jagtap,cyber_security##trust_management##internet_of_things##malware_detection
Eduarda Mendes Rodrigues,acm.org,,Ben Shneiderman##Marc Smith##Cody Dunne##Luis Sarmento##Eugenio Oliveira##Adam Perer##Gabriella Kazai##Derek L. Hansen##Matko Bošnjak##Pedro Saleiro##Miguel Sales Dias##Fernando Miguel Pinto##Blaz Fortuna##Elena Zheleva##Aleksandar Ignjatovic##Max L. Wilson##Dana Rotman##Luis C S Barradas##Richard Gomer##m.c. schraefel,applied_machine_learning##data_mining##social_computing##information_retrieval
Zixing Zhang,tum.de,,Björn Schuller##Jun Deng##Jing Han##Kun Qian 钱昆 (Prof. Dr.-Ing. SMIEEE)##Felix Weninger##Fabien Ringeval##Ziping Zhao##Eduardo Coutinho##Erik Marchi##Werner Hemmert##Florian Eyben##Martin Wöllmer##Maja Pantic##Alejandrina (Alex) Cristia##Anne S. Warlaumont##Elisabeth Andre,deep_learning##speech_processing##affective_computing##computational_paralinguistics##automatic_speech_recognition
Sanjay Ranka,cise.ufl.edu,University of Florida,Kishan Mehrotra##Sartaj Sahni##Chilukuri Mohan##Geoffrey Fox##Anand Rangarajan##Tamer Kahveci##Lily Elefteriadou##Arslan Munir##Todd Manini##Prabhat Mishra##Chengliang Yang##Chris Jermaine##Ishfaq Ahmad##Weixun Wang##Matin Kheirkhahan##Laukik Chitnis##Eun Sung Jung##Shigang Chen,high_performance_computing##cloud_computing##data_science##biomedical_informatics##artificial_intelligence
Anton Batliner,cs.fau.de,FAU Erlangen,Elmar Nöth##Björn Schuller##Stefan Steidl##dino seppi##Florian Eyben##Florian Hönig##Felix Weninger##Christian Hacker##Andreas K. Maier##Tobias Bocklet##Kornel Laskowski##Georg Stemmer##Joachim Hornegger##Martin Wöllmer,paralinguistics##prosody##affective_computing##phonetics
Xuemin (Sherman) Shen,uwaterloo.ca,University of Waterloo,Xiaodong Lin##Rongxing Lu##Nan Cheng (承楠)##Ning Zhang##Xiaohui Liang##Haibo Zhou##Lin Cai##Weihua Zhuang##Kuan Zhang##Jianbing Ni##Xu Li##Haojin Zhu##Ju Ren##Feng Lyu##Shan Zhang##Ning Lu##JIMING CHEN##Lin X. Cai##Tom H. Luan##Mohamed M. E. A. Mahmoud,wireless_networking##mac##network_security##vanet
José Reinaldo Silva,usp.br,,Tiago Vaquero##Flavio Tonidandel##Pedro Manuel González del Foyo##J. Christopher Beck##Paulo Eigi Miyagi##José Jean-Paul Zanlucchi de Souza T...##Israel Benitez##Diolino Jose dos Santos Filho##Diogo Dutra##Shimon Y. Nof##Khalil Drira##Miguel Angel Orellana Postigo##Fabrício Junqueira##ROBERTO CANDIDO##Leliane Nunes de Barros##Felipe Alcarpe Coda##Javier Martinez Silva##Ruy Nakayama##Mohsen Moghaddam##Newton Maruyama,systems_design##science_service##planning_and_artificial_intelligence##formal_requirements##petri_nets
Abhinav Dhall,iitrpr.ac.in,Indian Institute of Technology Ropar,Roland Goecke##Tom Gedeon##Jyoti Joshi##Simon Lucey##Shreya Ghosh##Karan Sikka##Dr. Rajen Bhatt##Jesse Hoey##Akshay Asthana##Nicu Sebe##Ibrahim Radwan##Guoying Zhao##Ramana Murthy##Marian Stewart Bartlett##Gaurav Sharma##Garima Sharma##Santanu Chaudhury##Gordon Parker##Matti Pietikäinen##Julien Epps,computer_vision##affective_computing##human_centered_ai
Jianfeng Gao,microsoft.com,,,natural_language_processing##information_retrieval##machine_learning##deep_learning
Samet Tonyali,agu.edu.tr,Abdullah Gul University,Kemal Akkaya##Mohamed M. E. A. Mahmoud##Nico Saputro##Khaled Rabieh##Selcuk Uluagac##Ozan Cakmak##Hawzhin Mohammed##Utku Ozgur##Mehrdad Nojoumian##Ahmad Alsharif##Ismail Guvenc##Fatih Senel##Xiuzhen Cheng##Ali Fuat ALKAYA##Mahmoud Nabil Mahmoud,security_and_privacy##internet_of_things##cyberphysical_systems##smart_grid_communications##machine_learning
Amit Sheth,sc.edu,University of South Carolina,John A. Miller##Krishnaprasad Thirunarayan##Kunal Verma##Cory Henson##Vipul Kashyap##Satya Sahoo##I. Budak Arpinar##Jorge Cardoso##Karthik Gomadam##Ajith Ranabahu##Meena Nagarajan##Pramod Anantharam##Boanerges Aleman-Meza##Payam Barnaghi##Hemant Purohit##Cartic Ramakrishnan##Valerie Shalin##Prateek Jain##Christopher Thomas##Raminta Daniulaityte,artificial_intelligence##big_and_smart_data##knowledge_graphs##knowledge_infused_learning##semantic_cognitive_perceptual_comput
Peipei Xu,liverpool.ac.uk,University of Liverpool,Xiaowei Huang,ai_safety##robust_deep_learning##tensor_theory
Paul Tarau,unt.edu,University of North Texas,Rada Mihalcea##Veronica Dahl##Koen De Bosschere##bart demoen##Karen Mazidi##Fahmida Hamid##Osmar Zaiane##Ulrich Neumerkel##Guillermo R. Simari##David Hurt##Manuel Palomar##Eduardo Blanco##Bill P. Buckles##John F Sowa##Pablo Accuosto##James Andrews##Valeria de Paiva##Alessandro Dal Palu'##Armin R. Mikler##Manuel Hermenegildo,logic_and_functional_programming##natural_language_processing##computational_mathematics##compilers_and_abstract_machines
Matko Bošnjak,deepmind.com,,Tomislav Šmuc##Tim Rocktäschel##Fran Supek##Nives Skunca##Sebastian Riedel##Pasquale Minervini##Luis Sarmento##Alexander Lerchner##Nino Antulov-Fantulin##Eduarda Mendes Rodrigues##Loic Matthey##Christopher P. Burgess##Edward Grefenstette##Andreas Vlachos,
Will Kay,google.com,Google,,artificial_intelligence
Miguel F. Acevedo,unt.edu,University of North Texas,,environmental_modeling_and_monitoring##renewable_electrical_power##sustainability##desalination##food_security
Ruy Nakayama,utfpr.edu.br,,,
