author_name,email,affiliation,coauthors_names,research_interest
Lawrence Holder,wsu.edu,Washington State University,Diane J Cook##William Eberle,artificial_intelligence##machine_learning##data_mining##graph_mining##security
Dr. Sirisha Velampalli,crraoaimscs.res.in,,William Eberle##Lenin Mookiah,graph_mining##big_data_analytics##machine_learning
William Eberle,tntech.edu,Tennessee Technological University,,data_mining##anomaly_detection
Diane J Cook,eecs.wsu.edu,Washington State University,Lawrence Holder##Parisa Rashidi##Sajal K. Das##Sumi Helal IEEE Fellow AAAS Fellow...##Vic Callaghan##Armin R. Mikler##Jesus A. Gonzalez##Ehsan Nazerfard##Courtney (Court) Corley##Hani Hagras##Brian K. Lamb##Kevin W. Bowyer##Jesse Hoey##F.L. Lewis##Horst Bunke##Ujjwal Maulik##Sanghamitra Bandyopadhyay##Wei Wang##sanjay chawla,artificial_intelligence##machine_learning##smart_environments
Sumi Helal IEEE Fellow AAAS Fellow IET Fellow Member of Academia Europaea,cise.ufl.edu,University of Florida,Raja Bose##Darrell Woelk##Diane J Cook##Youssef Kaddoura##Hen-I Yang##Jae Woong Lee##Bessam Abdulrazak##Jiangtao Wang##Ahmed EzzEldin Khaled##Duckki Lee##Yi Xu##Mounir Mokhtari##Kyungeun Cho##Hani Hagras##Anupam Joshi##My T. Thai##Paolo Bellavista##Carl K. Chang##Shinyoung Lim##Vipul Kashyap,digital_health##smart_homes##internet_of_things##pervasive_computing##mobile_computing
Hani Hagras,essex.ac.uk,University of Essex,Christian Wagner,explainable_artificial_intelligence##ambient_intelligence##intelligent_control##fuzzy_logic_systems
Anupam Joshi,umbc.edu,UMBC,Tim Finin##Yelena Yesha##Lalana Kagal##Dipanjan Chakraborty##Elias Houstis##Pranam Kolari##Sasikanth Avancha##Sudip Mittal##Karuna Pande Joshi##Richard Scott Cost##Raghu Krishnapuram##Sanjiva Weerawarana##Akshay Java##Wenjia Li Ph.D. SMIEEE##Varish Mulwad##Vlad Korolev##Prajit Kumar Das##Sougata Mukherjea##Zareen Syed##Ranjan Bose,data_management##mobile_computing##security##social_media##semantic_web
Dipanjan Chakraborty,in.ibm.com,,Anupam Joshi##Koustuv Dasgupta##Karl Aberer##Tim Finin##Nilanjan Banerjee##Sougata Mukherjea##Zhixian Yan##Arun Kumar##Nitendra Rajput##Deva P. Seetharam##Balaji Viswanathan##Arkady Zaslavsky##Saket Sathe##Hui Lei##Tanuja Ganu##Vinayak Naik##Thanasis Papaioannou##Pradipta De##Alcherio Martinoli##Lothar Thiele,context_aware_services##mobile_and_pervasive_computing##social_networks##ict_for_development
Jesse Hoey,cs.uwaterloo.ca,University of Waterloo,Alex Mihailidis##Pascal Poupart##Jennifer Boger##Tobias Schröder##Craig Boutilier##James Little##Chris Nugent##Shehroz S. Khan##Dana Kulić##Dr.-Ing. Michelle Karg##Pantelis Elinas##Julie M Robillard##Marek Grześ##Jyoti Joshi##Andrew Monk##Patrick Olivier##Areej Alhothali##Abhinav Dhall##Tammy Craig##Alexandra König,artificial_intelligence##affective_computing##computational_social_science##markov_decision_processes
Tim Finin,umbc.edu,University of Maryland Baltimore County,Anupam Joshi##Lalana Kagal##Yannis Labrou##James Mayfield##Akshay Java##Pranam Kolari##Richard Scott Cost##Dipanjan Chakraborty##Zareen Syed##Stuart C. Shapiro##Paul McNamee##J. Christopher Beck##Varish Mulwad##Karuna Pande Joshi##Vlad Korolev##Gio Wiederhold##Prajit Kumar Das##Wenjia Li Ph.D. SMIEEE##Jennifer Sleeman##Amit Sheth,artificial_intelligence##knowledge_graphs##natural_language_processing##social_media##computer_security
Ambareen Siraj,tntech.edu,Tennessee Tech University,Rayford Vaughn##William Eberle##Siddharth Kaza##Christa Cody##Khaled Rabieh##Mohammad Ashiqur Rahman##Lenin Mookiah##Ferrol Aderholdt##Brandon Malone,network_security##cyber_physical_systems_security##cyber_education_and_workforce_development
Varish Mulwad,ge.com,,Tim Finin##Anupam Joshi##Zareen Syed##Paul Cuddihy##Prajit Kumar Das##Sudip Mittal##Wenjia Li Ph.D. SMIEEE##Vijay S Kumar##Luis Tari##Raghava Mutharaju##Roberto Yus##Eduardo Mena##Nurali Virani##Karuna Pande Joshi##Abhinav Saxena,semantic_web##knowledge_graphs##natural_language_processing##machine_learning
Raghu Krishnapuram,iisc.ac.in,,,artificial_intelligence##autonomous_robots
Jyoti Joshi,monash.edu,,Roland Goecke##Abhinav Dhall##Jesse Hoey##Michael Breakspear##Gordon Parker##Julien Epps##Karan Sikka##Nicholas Cummins##Ramana Murthy##Jeffrey Cohn##Ibrahim Radwan##Sharifa Alghowinem##Vidhyasaharan Sethu##Hatice Gunes,affective_computing##human_computer_interaction##computer_vision
Zareen Syed,umbc.edu,UMBC,Tim Finin##Anupam Joshi##Varish Mulwad##Christine Piatko##Paul McNamee##Saif M. Mohammad##Muhammad Mahbubur Rahman (মাহবু...,information_retrieval##information_extraction##nlp##machine_learning##distributed_computing
Khaled Rabieh,shsu.edu,,Mohamed M. E. A. Mahmoud##Kemal Akkaya##Samet Tonyali##Terry N. Guo##Ambareen Siraj##Jelena Misic##Mahmoud Allam,information_security##vehicular_ad_hoc_networks##privacy_preserving_schemes##smart_grid_security##collusion_attacks_and_smaty_ci
Paul McNamee,jhu.edu,Johns Hopkins University,James Mayfield##Tim Finin##Christine Piatko##Dawn Lawrie##Douglas W. Oard##Mark Dredze##Delip Rao##Kevin Duh##Tan Xu##Patrick Schone##Cash Costello##Clay Fink##David Doermann##Xuan Zhang##Charles Nicholas##David Yarowsky##Zareen Syed##Jeremy Gwinnup##Huda Khayrallah##Benjamin Van Durme,information_retrieval##machine_translation##computational_linguistics
Akshay Java,cs.umbc.edu,,Tim Finin##Pranam Kolari##Anupam Joshi##Belle Tseng##Sergei Nirenburg##James Mayfield##Ian Soboroff##Eric Perlman##Yelena Yesha##Li Ding,social_media##natural_language_processing##machine_learning##information_retrieval##semantic_web
Armin R. Mikler,gsu.edu,Georgia State University,Courtney (Court) Corley##Diane J Cook##Chetan Tiwari##Vasant G Honavar##Tamara Jimenez (Schneider)##Gregor von Laszewski##Suhasini (Susie)  Ramisetty-Mikler##John Gustafson##Jayantha Muthukudage##Stephen T Elbert##Miguel F. Acevedo##Rada Mihalcea##Antonio Sanfilippo##Azzedine Boukerche##Tina Johnson##Saraju P. Mohanty##Paul Tarau##Marty O'Neill,intelligent_agents##public_health_informatics##contagion_modeling##computational_epidemiology##computational_response_planning
Nicholas Cummins,kcl.ac.uk,King's College London,Björn Schuller##Julien Epps##Jarek Krajewski##Zixing Zhang##Vidhyasaharan Sethu##Fabien Ringeval##Sebastian Schnieder##Roland Goecke##Stefan Scherer##Anton Batliner,paralinguistics##speech_processing##mental_health##machine_learning
Jiangtao Wang,coventry.ac.uk,Coventry University,Daqing Zhang IEEE Fellow##Leye Wang##Sumi Helal IEEE Fellow AAAS Fellow...##Qin Lv##Wenjie Ruan##Chao Chen (陈超)##Haoyi Xiong##Bin Guo##Linghe Kong##Jorge Goncalves##Denzil Ferreira##Brian Y. Lim##Xing Xie 谢幸##Bo Wu##Peng Xin##Qiang Ni##bing xie##Jaejoon Lee,mobile_computing##pervasive_computing##crowdsensing##intelligent_healthcare
Daqing Zhang IEEE Fellow,telecom-sudparis.eu,Telecom SudParis,Bin Guo##Zhiwen Yu (於志文)##Chao Chen (陈超)##Tao Gu##Leye Wang##Shijian Li##Dingqi Yang##Hung Keng Pung##Zhu WANG##Haoyi Xiong##Gang Pan (潘纲)##Dan Wu##Zhiyong YU (於志勇)##Jie Xiong##Jiangtao Wang##Longbiao CHEN (陈龙彪)##Hao Wang##Guande Qi##Nan Li 李楠##Pablo Samuel Castro,pervasive_computing##context_awareness##mobile_sensing##urban_computing##smart_environments
